feature,importance
CODE_GENDER,0.6743
FLAG_OWN_CAR,8.8913
AMT_INCOME_TOTAL,1.8047
NAME_INCOME_TYPE,6.4028
NAME_EDUCATION_TYPE,27.9429
NAME_FAMILY_STATUS,12.0342
NAME_HOUSING_TYPE,0.996
FLAG_WORK_PHONE,1.5031
FLAG_PHONE,3.8053
age,2.9529
