Name,Train_Time,Train_R2_Score,Test_R2_Score,Test_RMSE_Score,Test_MAE_Score,Test_MSE_Score
Lasso: ,0.01909017562866211,0.0002994158364393318,-0.001992647866968733,0.3749072851098962,0.3493745956499124,0.140555472428473
Ridge: ,0.009151220321655273,0.0015368792107044449,-0.0029025504948769765,0.37507747184507856,0.34944280163251296,0.14068310988569568
KNeighborsRegressor: ,0.1114652156829834,0.3061788848932736,-0.267550559420594,0.42167150869313835,0.3557626130092803,0.17780686124354747
SVR:,38.0500168800354,-0.16350773079331327,-0.22015517118215122,0.41371297785420513,0.3528067897858408,0.17115842804499404
RandomForest ,9.593078374862671,0.5167808348129221,-0.10404976406410626,0.39353733183310563,0.3518890263000092,0.1548716315463199
ExtraTreeRegressor :,6.888675928115845,0.5446090617351287,-0.2002251603797376,0.41032027345630906,0.35683892743464096,0.16836272680926026
GradientBoostingClassifier: ,2.063913345336914,0.03436631486432884,,0.37677245828979955,0.3498946546717473,0.14195748532573874
XGBRegressor: ,0.7076296806335449,0.26230952287005205,-0.09385352868076602,0.3917158982255028,0.3525017339598214,0.15344134492261247
MLPRegressor: ,5.1542274951934814,-7.859520389678215,-7.3957727892323,1.0852303992906729,0.9119563982176555,1.1777250195445932
